family,shop_or_product,platform_location,price,reviews_or_sales_signal,notes,evidence_source,confidence
bookkeeping_smallbiz,Etsy Seller Bookkeeping Spreadsheet (listing 1762253018),etsy.com/listing/1762253018,UNKNOWN (category typical GBP8-25),"4.8 stars, 3.1k reviews","12 tabs incl 4 dashboards; Google Sheets; Etsy-seller vertical",https://www.etsy.com/listing/1762253018/etsy-seller-bookkeeping-spreadsheet-etsy,VERIFIED (search snippet)
bookkeeping_smallbiz,Etsy Seller Bookkeeping Spreadsheet (listing 1638050337),etsy.com/listing/1638050337,UNKNOWN,Star Seller badge,"Income/expense/profit tracker, Sheets+Excel",https://www.etsy.com/listing/1638050337/etsy-seller-bookkeeping-spreadsheet,VERIFIED (search snippet)
bookkeeping_smallbiz,VisuelPlanners Small Business Bookkeeping Template,etsy.com/listing/1245698332,UNKNOWN,"4,741 favourites","Bookkeeping + expense + sales tracker, Google Sheets",https://www.etsy.com/listing/1245698332/small-business-bookkeeping-template,REPORTED
bookkeeping_smallbiz,Paper and Spark (Janet LeBlanc),shop.paperandspark.com + Etsy presence,~USD 25-70,"'thousands of makers' claimed","Accountant-built; lifetime updates as core offer; the premium benchmark",https://shop.paperandspark.com/products/etsy-seller-spreadsheet,REPORTED
bookkeeping_smallbiz,Someka Etsy Seller Excel Template,someka.net,~USD 30-50,UNKNOWN,Off-Etsy competitor selling same buyer,https://www.someka.net/products/etsy-seller-excel-template/,VERIFIED (site exists)
bookkeeping_smallbiz,SpreadsheetsHub automated Etsy bookkeeping,spreadsheetshub.com,UNKNOWN,UNKNOWN,Automated import angle,https://spreadsheetshub.com/products/etsy-seller-automatic-bookkeeping,VERIFIED (site exists)
uk_soletrader_tax,UK Self-employed Bookkeeping Spreadsheet HMRC Sole Trader (listing 4315166527),etsy.com/listing/4315166527,UNKNOWN,UNKNOWN,"HMRC sole trader accounts tracker, Excel or Sheets, for tax return",https://www.etsy.com/listing/4315166527/uk-self-employed-bookkeeping-spreadsheet,VERIFIED (search snippet)
uk_soletrader_tax,Bookkeeping + Tax Spreadsheet for Sole Trader UK 24/25 (listing 4373164546),etsy.com/listing/4373164546,UNKNOWN,UNKNOWN,"HMRC UK tax calculator; mirrors Self Assessment boxes",https://www.etsy.com/listing/4373164546/bookkeeping-tax-spreadsheet-for-sole,VERIFIED (search snippet)
uk_soletrader_tax,UK Self Assessment Tax Calculator 2024-25 (listing 4432091815),etsy.com/uk/listing/4432091815,UNKNOWN,UNKNOWN,"Calculates estimated tax from self-employment, savings, dividends",https://www.etsy.com/uk/listing/4432091815/uk-self-assessment-tax-calculator-2024,VERIFIED (search snippet)
uk_soletrader_tax,Self-assessment Self-employed Spreadsheet (listing 1538866641),etsy.com/uk/listing/1538866641,UNKNOWN,UNKNOWN,Older listing (2023-branded) still ranking = durable demand,https://www.etsy.com/uk/listing/1538866641/self-assessment-self-employed,VERIFIED (search snippet)
