keyword,cluster,intent,competition,trend,relevance_1to10,product,priority_1to5,source,confidence
bookkeeping spreadsheet,CORE,buyer,high,stable,10,flagship bookkeeping,1,etsy.com/market/bookkeeping_spreadsheet,HARVESTED
bookkeeping template,CORE,buyer,high,stable,10,flagship bookkeeping,1,etsy market pages,HARVESTED
small business bookkeeping template,CORE,buyer,high,stable,10,flagship bookkeeping,1,etsy listing 1245698332,HARVESTED
accounting spreadsheet small business,CORE,buyer,high,stable,9,flagship bookkeeping,2,etsy market pages,HARVESTED
income and expense tracker,CORE,buyer,high,stable,9,expense tracker,2,etsy market pages,HARVESTED
expense tracker spreadsheet,CORE,buyer,high,stable,9,expense tracker,2,etsy market pages,HARVESTED
profit tracker spreadsheet,CORE,buyer,medium,stable,8,flagship bookkeeping,2,ebay/etsy titles,HARVESTED
google sheets budget,CORE,buyer,very high,seasonal jan,6,later consumer line,4,"eRank via snazzydesignsforever.com: 1324 searches/mo, 112% CTR",HARVESTED
budget spreadsheet,CORE,buyer,very high,seasonal jan,6,later consumer line,4,etsy market pages,HARVESTED
digital products,CORE,browse,very high,"rising (#6 Q2 2026, was #45)",4,shop-level,5,help.erank.com/blog/top-etsy-searches-q2-2026,HARVESTED
sole trader excel spreadsheet,PROFESSIONAL,buyer,medium,seasonal jan,10,flagship bookkeeping,1,etsy.com/market/sole_trader_excel_spreadsheet,HARVESTED
self employed uk spreadsheet,PROFESSIONAL,buyer,medium,seasonal jan,10,flagship bookkeeping,1,etsy.com/uk/market/self_employed_uk_spreadsheet,HARVESTED
uk self employed bookkeeping spreadsheet,PROFESSIONAL,buyer,medium,seasonal jan,10,flagship bookkeeping,1,etsy listing 4315166527,HARVESTED
self assessment spreadsheet,PROBLEM,buyer,medium,seasonal jan,10,tax tracker,1,etsy listing 1538866641,HARVESTED
uk self assessment tax calculator,PROBLEM,buyer,medium,seasonal jan,10,tax calculator,1,etsy listing 4432091815,HARVESTED
hmrc sole trader accounts,PROFESSIONAL,buyer,low,seasonal jan,10,flagship bookkeeping,1,etsy listing 4315166527,HARVESTED
sole trader tax return template,PROBLEM,buyer,medium,seasonal jan,10,tax tracker,1,etsy listing 4373164546,HARVESTED
landlord spreadsheet,NICHE,buyer,medium,stable,8,landlord tracker,2,etsy.com/uk/market/landlord_spreadsheet,HARVESTED
rental property spreadsheet,NICHE,buyer,medium,stable,8,landlord tracker,2,etsy listing 1230615008,HARVESTED
rental income and expense tracker,NICHE,buyer,medium,stable,8,landlord tracker,2,etsy listing 814979267,HARVESTED
landlord property tracker uk,NICHE,buyer,medium,rising (MTD),9,landlord tracker,2,etsy listing 4481759113,HARVESTED
sales tracker,CORE,buyer,high,stable,8,sales tracker,2,etsy.com/market/sales_tracker,HARVESTED
sales lead tracker,CORE,buyer,medium,stable,9,lead tracker,1,etsy.com/market/sales_lead_tracker,HARVESTED
